 ZONE i=641, j=65
 0.00000000E+00, 0.26666667E+00
 0.39775727E-01, 0.26666667E+00
 0.79553127E-01, 0.26666667E+00
 0.11933219E+00, 0.26666667E+00
 0.15911293E+00, 0.26666667E+00
 0.19889533E+00, 0.26666667E+00
 0.23867938E+00, 0.26666667E+00
 0.27846510E+00, 0.26666667E+00
 0.31825247E+00, 0.26666667E+00
 0.35804149E+00, 0.26666667E+00
 0.39783216E+00, 0.26666667E+00
 0.43762448E+00, 0.26666667E+00
 0.47741844E+00, 0.26666667E+00
 0.51721405E+00, 0.26666667E+00
 0.55701129E+00, 0.26666667E+00
 0.59681016E+00, 0.26666667E+00
 0.63661067E+00, 0.26666667E+00
 0.67641280E+00, 0.26666667E+00
 0.71621657E+00, 0.26666667E+00
 0.75602196E+00, 0.26666667E+00
 0.79582896E+00, 0.26666667E+00
 0.83563759E+00, 0.26666667E+00
 0.87544783E+00, 0.26666667E+00
 0.91525969E+00, 0.26666667E+00
 0.95507315E+00, 0.26666667E+00
 0.99488822E+00, 0.26666667E+00
 0.10347049E+01, 0.26666667E+00
 0.10745232E+01, 0.26666667E+00
 0.11143430E+01, 0.26666667E+00
 0.11541645E+01, 0.26666667E+00
 0.11939876E+01, 0.26666667E+00
 0.12338122E+01, 0.26666667E+00
 0.12736385E+01, 0.26666667E+00
 0.13134663E+01, 0.26666667E+00
 0.13532957E+01, 0.26666667E+00
 0.13931267E+01, 0.26666667E+00
 0.14329592E+01, 0.26666667E+00
 0.14727934E+01, 0.26666667E+00
 0.15126291E+01, 0.26666667E+00
 0.15524664E+01, 0.26666667E+00
 0.15923052E+01, 0.26666667E+00
 0.16321456E+01, 0.26666667E+00
 0.16719875E+01, 0.26666667E+00
 0.17118310E+01, 0.26666667E+00
 0.17516761E+01, 0.26666667E+00
 0.17915227E+01, 0.26666667E+00
 0.18313709E+01, 0.26666667E+00
 0.18712206E+01, 0.26666667E+00
 0.19110718E+01, 0.26666667E+00
 0.19509246E+01, 0.26666667E+00
 0.19907790E+01, 0.26666667E+00
 0.20306348E+01, 0.26666667E+00
 0.20704922E+01, 0.26666667E+00
 0.21103511E+01, 0.26666667E+00
 0.21502116E+01, 0.26666667E+00
 0.21900735E+01, 0.26666667E+00
 0.22299370E+01, 0.26666667E+00
 0.22698020E+01, 0.26666667E+00
 0.23096685E+01, 0.26666667E+00
 0.23495365E+01, 0.26666667E+00
 0.23894061E+01, 0.26666667E+00
 0.24292771E+01, 0.26666667E+00
 0.24691496E+01, 0.26666667E+00
 0.25090237E+01, 0.26666667E+00
 0.25488992E+01, 0.26666667E+00
 0.25887762E+01, 0.26666667E+00
 0.26286547E+01, 0.26666667E+00
 0.26685347E+01, 0.26666667E+00
 0.27084162E+01, 0.26666667E+00
 0.27482992E+01, 0.26666667E+00
 0.27881836E+01, 0.26666667E+00
 0.28280696E+01, 0.26666667E+00
 0.28679570E+01, 0.26666667E+00
 0.29078458E+01, 0.26666667E+00
 0.29477362E+01, 0.26666667E+00
 0.29876280E+01, 0.26666667E+00
 0.30275212E+01, 0.26666667E+00
 0.30674160E+01, 0.26666667E+00
 0.31073121E+01, 0.26666667E+00
 0.31472098E+01, 0.26666667E+00
 0.31871089E+01, 0.26666667E+00
 0.32270094E+01, 0.26666667E+00
 0.32669114E+01, 0.26666667E+00
 0.33068148E+01, 0.26666667E+00
 0.33467197E+01, 0.26666667E+00
 0.33866260E+01, 0.26666667E+00
 0.34265337E+01, 0.26666667E+00
 0.34664429E+01, 0.26666667E+00
 0.35063534E+01, 0.26666667E+00
