 ZONE i=321, j=33
 0.97480438E+01, 0.00000000E+00
 0.98282431E+01, 0.00000000E+00
 0.99084463E+01, 0.00000000E+00
 0.99886534E+01, 0.00000000E+00
 0.10068864E+02, 0.00000000E+00
 0.10149079E+02, 0.00000000E+00
 0.10229297E+02, 0.00000000E+00
 0.10309520E+02, 0.00000000E+00
 0.10389746E+02, 0.00000000E+00
 0.10469975E+02, 0.00000000E+00
 0.10550209E+02, 0.00000000E+00
 0.10630446E+02, 0.00000000E+00
 0.10710686E+02, 0.00000000E+00
 0.10790931E+02, 0.00000000E+00
 0.10871179E+02, 0.00000000E+00
 0.10951430E+02, 0.00000000E+00
 0.11031685E+02, 0.00000000E+00
 0.11111944E+02, 0.00000000E+00
 0.11192206E+02, 0.00000000E+00
 0.11272471E+02, 0.00000000E+00
 0.11352740E+02, 0.00000000E+00
 0.11433013E+02, 0.00000000E+00
 0.11513289E+02, 0.00000000E+00
 0.11593568E+02, 0.00000000E+00
 0.11673851E+02, 0.00000000E+00
 0.11754137E+02, 0.00000000E+00
 0.11834426E+02, 0.00000000E+00
 0.11914719E+02, 0.00000000E+00
 0.11995015E+02, 0.00000000E+00
 0.12075314E+02, 0.00000000E+00
 0.12155616E+02, 0.00000000E+00
 0.12235922E+02, 0.00000000E+00
 0.12316230E+02, 0.00000000E+00
 0.12396542E+02, 0.00000000E+00
 0.12476857E+02, 0.00000000E+00
 0.12557175E+02, 0.00000000E+00
 0.12637497E+02, 0.00000000E+00
 0.12717821E+02, 0.00000000E+00
 0.12798148E+02, 0.00000000E+00
 0.12878478E+02, 0.00000000E+00
 0.12958812E+02, 0.00000000E+00
 0.13039148E+02, 0.00000000E+00
 0.13119487E+02, 0.00000000E+00
 0.13199829E+02, 0.00000000E+00
 0.13280175E+02, 0.00000000E+00
 0.13360522E+02, 0.00000000E+00
 0.13440873E+02, 0.00000000E+00
 0.13521227E+02, 0.00000000E+00
 0.13601583E+02, 0.00000000E+00
 0.13681943E+02, 0.00000000E+00
 0.13762304E+02, 0.00000000E+00
 0.13842669E+02, 0.00000000E+00
 0.13923037E+02, 0.00000000E+00
 0.14003407E+02, 0.00000000E+00
 0.14083779E+02, 0.00000000E+00
 0.14164155E+02, 0.00000000E+00
 0.14244533E+02, 0.00000000E+00
 0.14324913E+02, 0.00000000E+00
 0.14405297E+02, 0.00000000E+00
 0.14485682E+02, 0.00000000E+00
 0.14566071E+02, 0.00000000E+00
 0.14646461E+02, 0.00000000E+00
 0.14726855E+02, 0.00000000E+00
 0.14807250E+02, 0.00000000E+00
 0.14887648E+02, 0.00000000E+00
 0.14968049E+02, 0.00000000E+00
 0.15048452E+02, 0.00000000E+00
 0.15128857E+02, 0.00000000E+00
 0.15209265E+02, 0.00000000E+00
 0.15289675E+02, 0.00000000E+00
 0.15370087E+02, 0.00000000E+00
 0.15450501E+02, 0.00000000E+00
 0.15530918E+02, 0.00000000E+00
 0.15611337E+02, 0.00000000E+00
 0.15691758E+02, 0.00000000E+00
 0.15772181E+02, 0.00000000E+00
 0.15852607E+02, 0.00000000E+00
 0.15933034E+02, 0.00000000E+00
 0.16013464E+02, 0.00000000E+00
 0.16093896E+02, 0.00000000E+00
 0.16174329E+02, 0.00000000E+00
 0.16254765E+02, 0.00000000E+00
 0.16335203E+02, 0.00000000E+00
 0.16415643E+02, 0.00000000E+00
 0.16496085E+02, 0.00000000E+00
 0.16576528E+02, 0.00000000E+00
 0.16656974E+02, 0.00000000E+00
 0.16737421E+02, 0.00000000E+00
 0.16817871E+02, 0.00000000E+00
 0.16898322E+02, 0.00000000E+00
 0.16978775E+02, 0.00000000E+00
 0.17059230E+02, 0.00000000E+00
 0.17139686E+02, 0.00000000E+00
 0.17220145E+02, 0.00000000E+00
 0.17300605E+02, 0.00000000E+00
 0.17381067E+02, 0.00000000E+00
 0.17461530E+02, 0.00000000E+00
 0.17541995E+02, 0.00000000E+00
 0.17622462E+02, 0.00000000E+00
 0.17702930E+02, 0.00000000E+00
 0.17783400E+02, 0.00000000E+00
 0.17863872E+02, 0.00000000E+00
 0.17944345E+02, 0.00000000E+00
 0.18024819E+02, 0.00000000E+00
 0.18105295E+02, 0.00000000E+00
 0.18185773E+02, 0.00000000E+00
 0.18266252E+02, 0.00000000E+00
 0.18346732E+02, 0.00000000E+00
 0.18427214E+02, 0.00000000E+00
 0.18507697E+02, 0.00000000E+00
 0.18588181E+02, 0.00000000E+00
 0.18668667E+02, 0.00000000E+00
 0.18749154E+02, 0.00000000E+00
 0.18829642E+02, 0.00000000E+00
 0.18910132E+02, 0.00000000E+00
 0.18990623E+02, 0.00000000E+00
 0.19071115E+02, 0.00000000E+00
 0.19151608E+02, 0.00000000E+00
 0.19232102E+02, 0.00000000E+00
 0.19312598E+02, 0.00000000E+00
 0.19393094E+02, 0.00000000E+00
 0.19473592E+02, 0.00000000E+00
 0.19554091E+02, 0.00000000E+00
 0.19634591E+02, 0.00000000E+00
 0.19715091E+02, 0.00000000E+00
 0.19795593E+02, 0.00000000E+00
 0.19876096E+02, 0.00000000E+00
 0.19956600E+02, 0.00000000E+00
 0.20037104E+02, 0.00000000E+00
 0.20117610E+02, 0.00000000E+00
 0.20198116E+02, 0.00000000E+00
 0.20278624E+02, 0.00000000E+00
 0.20359132E+02, 0.00000000E+00
 0.20439640E+02, 0.00000000E+00
 0.20520150E+02, 0.00000000E+00
 0.20600661E+02, 0.00000000E+00
 0.20681172E+02, 0.00000000E+00
 0.20761684E+02, 0.00000000E+00
 0.20842196E+02, 0.00000000E+00
 0.20922709E+02, 0.00000000E+00
 0.21003223E+02, 0.00000000E+00
 0.21083738E+02, 0.00000000E+00
 0.21164253E+02, 0.00000000E+00
 0.21244768E+02, 0.00000000E+00
 0.21325285E+02, 0.00000000E+00
 0.21405801E+02, 0.00000000E+00
 0.21486318E+02, 0.00000000E+00
 0.21566836E+02, 0.00000000E+00
 0.21647354E+02, 0.00000000E+00
 0.21727873E+02, 0.00000000E+00
 0.21808392E+02, 0.00000000E+00
 0.21888911E+02, 0.00000000E+00
 0.21969431E+02, 0.00000000E+00
 0.22049951E+02, 0.00000000E+00
 0.22130471E+02, 0.00000000E+00
 0.22210992E+02, 0.00000000E+00
 0.22291512E+02, 0.00000000E+00
 0.22372033E+02, 0.00000000E+00
 0.22452555E+02, 0.00000000E+00
 0.22533076E+02, 0.00000000E+00
 0.22613598E+02, 0.00000000E+00
 0.22694120E+02, 0.00000000E+00
 0.22774642E+02, 0.00000000E+00
 0.22855164E+02, 0.00000000E+00
 0.22935686E+02, 0.00000000E+00
 0.23016208E+02, 0.00000000E+00
 0.23096730E+02, 0.00000000E+00
 0.23177245E+02, 0.00000000E+00
 0.23263916E+02, 0.00000000E+00
 0.23357127E+02, 0.00000000E+00
 0.23457269E+02, 0.00000000E+00
 0.23564742E+02, 0.00000000E+00
 0.23679948E+02, 0.00000000E+00
 0.23803290E+02, 0.00000000E+00
